aEndo	capEndo	vEndo	aSMC	vSMC	Per1	Per2	Fib1	Fib2	Fib3
CTNNBIP1	0.354910320169418	0.492170860210206	0.44795830125607	0.261931824404575	0.322738699475486	0.395766723035108	0.332418148073865	0.259694021303905	0.247792656261099	0.156185943289
LZIC	0.165895601021184	0.247884201166827	0.254604162534499	0.164225543630428	0.353852587489075	0.346722452519012	0.314545292645351	0.240675503207098	0.185978861403238	0.102730981584425
NMNAT1	0.257217658326224	0.246048330389775	0.266113587145535	0.3092645360371	0.217681972299458	0.206097383518865	0.219217386939732	0.177332069126731	0.197396564365262	0.216369597442275
RBP7	0	0.00557040261645831	0.0390737422151642	0.0113304746656899	0.0672344457641107	0.0271610297531715	0.0125563381482212	0.0522649480801417	0.0189176015994918	0.0311011361236503
UBE4B	0.889028618907497	1.00482425728048	0.882412982490967	0.788836992946135	0.815265608426327	0.894272992031269	0.960171330674812	1.01326190571906	0.952211152543724	0.700585642514094
KIF1B	1.09951178522401	1.29389869371067	1.28116936663353	1.1993379159047	1.09666419257266	1.11353655597806	1.30600411382758	1.51089936317973	1.3479534137011	1.32750696426825
PGD	0.143429502432822	0.0633985598350974	0.104685383806226	0.0644264704103955	0.175494630420681	0.0877248267107268	0.0700515964973606	0.155854585603222	0.179932052511261	0.277669894835522
CENPS-CORT	0.00889416629089283	0	0.0200926643998733	0	0.0103883198513525	0.00602386303719939	0.0113275611656913	0	0	0.0142117490971339
CENPS	0	0	0	0	0	0	0	0	0	0
DFFA	0.263752263287689	0.25939046150261	0.212891340939375	0.353963837022846	0.247529953286097	0.288728412234599	0.231141744477019	0.135650735987042	0.081343778681114	0.154232936727634
PEX14	0.502785012471093	0.565191402819166	0.541069977808009	0.435819857598356	0.460819083106522	0.532870799936907	0.432374020274454	0.453227133102641	0.558065602487964	0.395944240605298
CASZ1	0.13814250210061	0.053687947875979	0.0312773636644476	0.280784062819953	0.0823610908761718	0.0436287945998821	0.0481235918145074	0.0517566122366347	0.0580867958385052	0.063020540284839
C1orf127	0.0228508773937223	0.0113829030359788	0.00323880628766845	0.0117345932429492	0.0253748852718737	0.0161446918950442	0	0	0	0
TARDBP	0.0960931619670553	0.102640726188414	0.0597343104542915	0.147458083811921	0.0176727714706768	0.0298295101435996	0.0566256810958754	0.0126927782487224	0.0459800377942376	0.113119711531264
MASP2	0.0303756757384088	0.0860798606322146	0.0720580626217546	0.0244599223974977	0.130685341740431	0.0989105099040641	0.036042535575025	0.0598388010927217	0.0493625942281397	0.0388456552090165
SRM	0.0850287919832911	0.0870571965073227	0.146909410653502	0.13498692736766	0.254641788176588	0.191410885141	0.145282064424793	0.164024167657143	0.147604630969018	0.202998846223572
EXOSC10	0.337410415941758	0.28826621579949	0.276262285109398	0.334819178805886	0.254145327229649	0.259598219642532	0.275246057827018	0.29137041084655	0.234419745369446	0.120969230285393
MTOR	0.514700516364864	0.686914812238673	0.653296610174306	0.426168968939364	0.478916788968071	0.601731028847358	0.61924451438358	0.429394212246579	0.357333267304997	0.355643114416757
ANGPTL7	0.00667980167949479	0.012818259998034	0.0392670491979398	0	0.016350568607577	0.012601305328096	0	0.0124262556895293	0	0
UBIAD1	0.0781512069827003	0.109103285542569	0.077382388242235	0.141292688406626	0.123337776633978	0.129807818546663	0.105374961569297	0.0733248410810739	0.182468165849581	0.126607528146848
DISP3	0.0402053754224736	0.00881398587649613	0.00669751957404943	0.0381849725172432	0.019802332185966	0.0144596053829215	0	0	0.0774769078535485	0.0395469034733286
FBXO2	0.0677925666919379	0.0580659513816088	0.00630047602527227	0.0443978754170347	0.030158376581184	0.0173636029560217	0.0629530386801507	0.0582394244881496	0	0.0383317452738304
FBXO44	0.0704508820277564	0.0889614318244094	0.0668897903320445	0.120867886405282	0.0632533893838077	0.0598036448339497	0.188260897334113	0.160937900867355	0.0901767010385774	0.0460763828499022
FBXO6	0.0305129962885688	0.054930708444788	0.0521507761329465	0.0987727765938802	0.04821622884388	0.0601476933580693	0.0679635747655334	0.0900519008124772	0.0523496688846649	0.0498471045712949
MAD2L2	0.0468546896407802	0.0347754508432263	0.0524467140330493	0.0634990076527227	0.10626678747453	0.0742487027999407	0	0.0529960088916829	0.0343228939609643	0.0824301505099444
DRAXIN	0.00824567406290074	0.0045650263313123	0.0150911134878856	0	0.00902549579199836	0.0239483818739273	0	0.0579244001501064	0.0550016335963656	0
AGTRAP	0.0563914216120877	0.0561550660283643	0.0670435319262329	0.0543882668179413	0.129004770966184	0.099181979131957	0.0359292929891229	0.174419024160616	0.0888446399081349	0.0360891364060175
C1orf167	0.0460233219563991	0.0104470748056623	0.0118210930785316	0.0446211836749049	0.0434791698823395	0.0585256166482273	0.0252994978933915	0.0420280989799346	0.056703625010646	0.0566988813889903
MTHFR	0.398879136718414	0.386428407804327	0.342451036971701	0.370285129375145	0.39569072130748	0.39013673460643	0.528089321122871	0.6127361929781	1.04136533781116	0.812975059065211
CLCN6	0.220235063238467	0.207909431676132	0.212146709519288	0.155949711610945	0.177734809158798	0.178867326024446	0.312528135317614	0.156461473986038	0.203646555745934	0.342301736306798
NPPA	0.0213697051464075	0.00847787152784656	0.0203452112544113	0.0212267837109019	0.00594237882442864	0.00896767496675432	0.00637092131737623	0	0	0.02478492828912
NPPB	0	0	0	0	0	0	0	0	0	0
KIAA2013	0.193777667633138	0.169474760935135	0.101584862080643	0.143079228693657	0.269570352828574	0.286575899127248	0.276076011980745	0.175137686309943	0.106783408178053	0.121856220103152
PLOD1	0.136800571472157	0.106068579465694	0.0880815496530605	0.431207092970087	0.373102283660406	0.411966656698688	0.639200731657398	0.343772696399408	0.0505033647355537	0.0614035204439572
MFN2	0.209254280847465	0.230915888755726	0.274612047901288	0.398058531302385	0.285291604968426	0.298287877767309	0.262093933140075	0.315617720301724	0.160097047009532	0.192413000716888
MIIP	0.0461378835643292	0.0855119280965983	0.0298824786994791	0.0660367501785847	0.0839587695168767	0.0715075634059936	0.0886515286252156	0.0951429786608581	0.12066713467034	0.0937516669793612
TNFRSF8	0.0306161528912329	0.0173217386476998	0.0118639800427966	0.00202407994750405	0.0165311000723909	0.0266641651711509	0.0090832013284037	0.051913015875454	0	0.0319907415118245
TNFRSF1B	0.968970147889278	0.46778573843507	0.399808666149571	0.334211599742874	0.730199644896826	0.492113260862113	0.421835259566497	0.204660329992676	0.0921735310077192	0.101365521416432
VPS13D	1.20291383424658	1.26753780567114	1.37942840437639	1.98812829233058	1.15490881741258	1.22296279964764	1.50512028516538	1.20232811433879	1.19653094601891	1.51185320776458
