gene	cluster
KCND3	6
AC012435.2	6
PRKX	6
OXNAD1	6
PGM2L1	6
AC087286.2	6
SLC5A4	6
RASSF4	6
SH3RF2	6
TMEM63A	6
ABO	6
DIAPH2-AS1	6
LRRK2	6
HOMER2	6
AFDN	6
STK24	6
STEAP1B	6
CCDC3	6
MSI2	6
PROS1	6
MAPK14	6
LIMK2	6
PUS7	6
AP003086.2	6
UBASH3B	6
RGS3	6
JAM3	6
CPM	6
CTTNBP2NL	6
CC2D2B	6
AL445426.1	6
CD58	6
GRK5	6
DDHD1	6
ARHGAP5	6
AC022217.3	6
ARGLU1	6
GNAL	6
MTHFD2L	6
TLN2	6
BAG3	6
CDH13	6
TMC6	6
TMEM72-AS1	6
SMAD2	6
MAP2K6	6
TMEM164	6
MYO1D	6
CDC42EP3	6
STARD9	6
CAPZA2	6
IL6	6
CCNYL1	6
RABGAP1	6
FZD6	6
SPOCK1	6
N4BP2L2	6
TEAD4	6
PPP1R16B	6
MIR99AHG	6
CRYBG3	6
FES	6
LIMA1	6
SHE	6
PKD2	6
DHRS7B	6
RALB	6
CADM1	6
SP110	6
IL15RA	6
PTPRR	6
RFC3	6
TTC13	6
ABR	6
KIAA1109	6
SH3RF1	6
ARL5A	6
PRDM5	6
SMG7	6
APOL3	6
SAT1	6
PTBP3	6
ATP2A2	6
CXCL1	6
PSIP1	6
KRAS	6
PPM1D	6
ZSWIM4	6
SLF1	6
MEG8	6
PTPRE	6
NFKBIZ	6
TTC7A	6
C3orf52	6
BCL6	6
TACC2	6
SEPT6	6
IRAK2	6
RUFY3	6
ICAM1	6
MB21D2	6
AF165147.1	6
SEL1L3	6
PVT1	6
DRAM1	6
HOOK2	6
ANKRD6	6
CAP2	6
WNT2B	6
CREB5	6
ECHDC1	6
WSB1	6
TNFRSF10A	6
SLC44A1	6
FBLN5	7
SEMA3G	7
ADAMTS1	7
ELN	7
DKK2	7
GJA5	7
MGP	7
LTBP4	7
ATP2A3	7
CXCL2	7
FBLIM1	7
DEPP1	7
HES4	7
ID1	7
S100A6	7
SLC4A4	7
RHOB	7
KCNJ2	7
HRH1	7
JAG2	7
HEY1	7
KLF2	7
SOX17	7
ICAM2	7
ITGB4	7
HSPB1	7
FBLN2	7
FGF18	7
VIM	7
SOX13	7
ACACB	7
TXNL4B	7
BGN	7
IRF6	7
TMSB10	7
LTC4S	7
ATP1A1	7
CYP1B1	7
SLC7A2	7
NOS3	7
JUNB	7
CLEC14A	7
KCTD12	7
ARHGAP4	7
GLIPR2	7
EMP1	7
MIDN	7
NPTN	7
SYNPO	7
ABL2	7
PLEKHG2	7
CD9	7
MMRN2	7
SLC9A3R2	7
PTGIS	7
SELENON	7
CLDN5	7
SOX18	7
NUDT4	7
CYBRD1	7
CXCL12	7
LPCAT2	7
TMEM120A	7
NEAT1	7
GLUL	7
INSR	7
FOS	7
LINC01695	7
TNFRSF1B	7
RAMP2	7
NOTCH4	7
MYLIP	7
CMTM6	7
TSC22D1	7
FBN1	7
ORAI1	7
ID3	7
VGLL4	7
JUND	7
S1PR1	7
S100A11	7
PTGER4	7
RPL34	7
PODXL	7
POMP	7
H3F3B	7
SERPING1	7
CEP68	7
ASS1	7
HLA-C	7
SEMA3F	7
FGFR3	7
CD74	7
CRIP2	7
