gene	cluster
NSUN6	3
YME1L1	3
JCAD	3
MAP3K8	3
KIF5B	3
ITGB1	3
CREM	3
CCNY	3
CXCL12	3
SGMS1	3
RHOBTB1	3
JMJD1C	3
REEP3	3
SAR1A	3
VSIR	3
PSAP	3
SPOCK2	3
FUT11	3
TSPAN14	3
IFIT3	3
SORBS1	3
TM9SF3	3
SLK	3
AFAP1L2	3
EIF3A	3
MCMBP	3
ADIPOR2	3
VWF	3
RIMKLB	3
A2M	3
MANSC1	3
KRAS	3
LMNTD1	3
RASSF8	3
RAPGEF3	3
HDAC7	3
FMNL3	3
CD63	3
RBMS2	3
NDUFA4L2	3
IRAK3	3
RAP1B	3
TBC1D15	3
TMCC3	3
ELK3	3
CDK17	3
TMPO	3
CRY1	3
OAS3	3
TBX3	3
FBXO21	3
CCDC60	3
PXN	3
HIP1R	3
VPS37B	3
TMEM132C	3
LATS2	3
SLC46A3	3
SLC7A1	3
HMGB1	3
DCLK1	3
UFM1	3
ELF1	3
TSC22D1	3
LRCH1	3
MED4	3
LPAR6	3
VPS36	3
TBC1D4	3
DOCK9	3
TM9SF2	3
ATP11A	3
MCF2L	3
STXBP6	3
ERO1A	3
LGALS3	3
ZFP36L1	3
SUSD6	3
VASH1	3
PAPOLA	3
YY1	3
WARS	3
JAG2	3
SLC12A6	3
B2M	3
MYEF2	3
NEDD4	3
ADAM10	3
ZNF609	3
RAB11A	3
GLCE	3
PSMA4	3
MORF4L1	3
HDGFL3	3
MEF2A	3
CHSY1	3
UBN1	3
EMP2	3
LITAF	3
MKL2	3
THUMPD1	3
MVP	3
NKD1	3
CYLD	3
AMFR	3
CDH11	3
CDH5	3
DYNC1LI2	3
EXOSC6	3
MLKL	3
ZNRF1	3
CDYL2	3
ZDHHC7	3
SLC7A5	3
ANKRD11	3
CRK	3
SCARF1	3
ARHGEF15	3
RPL23A	3
CPD	3
AP2B1	3
TAF15	3
MMP28	3
STAT3	3
ARHGAP27	3
SPOP	3
ANKRD40	3
HLF	3
DGKE	3
CLTC	3
CA4	3
PECAM1	3
SMURF2	3
ARSG	3
SLC16A6	3
WIPI1	3
H3F3B	3
ACOX1	3
ST6GALNAC1	3
SEC14L1	3
SEPT9	3
CYTH1	3
TBCD	3
YES1	3
SMCHD1	3
NDUFV2	3
VAPA	3
APCDD1	3
LDLRAD4	3
ZNF521	3
C18orf25	3
NFATC1	3
RBCK1	3
HSPA12B	3
ISM1	3
NAA20	3
ID1	3
BCL2L1	3
MAPRE1	3
DYNLRB1	3
PROCR	3
DLGAP4	3
SAMHD1	3
ZMYND8	3
PREX1	3
ARFGEF2	3
TSHZ2	3
LAMA5	3
HELZ2	3
SHC2	3
BSG	3
PALM	3
MUM1	3
NFIC	3
PIP5K1C	3
SH3GL1	3
SEMA6B	3
KDM4B	3
INSR	3
KANK3	3
HNRNPM	3
CDC37	3
LDLR	3
NDUFB7	3
ZNF90	3
KIAA0355	3
LSR	3
PAK4	3
NECTIN2	3
PPP1R13L	3
NOVA2	3
HIF3A	3
PRKD2	3
CARD8	3
EMP3	3
RASIP1	3
FTL	3
ZNF160	3
MYADM	3
PCDH11Y	3
GGT5	3
SNRPD3	3
TPST2	3
LIMK2	3
APOL3	3
MYH9	3
TRIOBP	3
PARVB	3
CERK	3
SHANK3	3
JAM2	3
APP	3
CYYR1	3
IFNAR1	3
IFNGR2	3
ERG	3
ETS2	3
BACE2	3
MX1	3
PDE9A	3
RRP1B	3
PDXK	3
LSS	3
PRMT2	3
ISG15	4
MRPL20	4
VWA1	4
SSU72	4
TNFRSF14	4
VAMP3	4
PARK7	4
DHRS3	4
SRARP	4
CDA	4
PINK1	4
HSPG2	4
ID3	4
RPL11	4
SYF2	4
SH3BGRL3	4
HMGN2	4
DNAJC8	4
NDUFS5	4
MFSD2A	4
CAP1	4
YBX1	4
SLC2A1	4
RPS8	4
PRDX1	4
PIK3R3	4
TAL1	4
SCP2	4
JUN	4
SERBP1	4
GNG5	4
SH3GLB1	4
SELENOF	4
GBP4	4
RPL5	4
S1PR1	4
TAF13	4
LAMTOR5	4
RHOC	4
CSDE1	4
ATP1A1	4
RBM8A	4
APH1A	4
C1orf54	4
MCL1	4
CERS2	4
MINDY1	4
S100A10	4
S100A11	4
S100A16	4
S100A13	4
JTB	4
RAB13	4
RPS27	4
FDPS	4
SSR2	4
NES	4
TAGLN2	4
PEA15	4
F11R	4
PFDN2	4
MGST3	4
MPZL1	4
IER5	4
IVNS1ABP	4
BTG2	4
NUCKS1	4
CD55	4
SLC30A1	4
C1orf115	4
SRP9	4
PARP1	4
ARF1	4
GUK1	4
FAM89A	4
RPS7	4
CMPK2	4
RSAD2	4
MATN3	4
LAPTM4A	4
RHOB	4
SF3B6	4
POMC	4
OST4	4
ATRAID	4
MRPL33	4
FOSL2	4
QPCT	4
ZFP36L2	4
RPS27A	4
ACTR2	4
PCBP1	4
POLE4	4
TMSB10	4
TGOLN2	4
ATOH8	4
CHMP3	4
COX5B	4
KIAA1211L	4
EIF5B	4
AFF3	4
IL18R1	4
SLC9A2	4
DDX18	4
MZT2B	4
IFIH1	4
ATP5MC3	4
HNRNPA3	4
CAVIN2	4
NDUFB3	4
EEF1B2	4
KLF7	4
RPL37A	4
NCL	4
COPS9	4
BHLHE40	4
BRK1	4
RPL32	4
LSM3	4
RPL15	4
CMTM6	4
